子结构 SMILES,出现次数,出现行号
O=CNc1ccccc1,10,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
CCNc1ccccc1,7,"0, 1, 2, 3, 4, 5, 9"
CNc1ccc(N)cc1,6,"0, 1, 2, 3, 5, 7"
Nc1cccc(C=O)c1,6,"1, 2, 3, 4, 5, 8"
NCNc1ccccc1,3,"6, 7, 8"
NCNc1ccccc1,2,"6, 7"
CNc1cccc(C)c1,2,"4, 5"
O=CNc1ccccc1,2,"6, 7"
CC=Cc1ccccc1,1,2
C/C=C/c1ccccc1,1,3
CCl,1,1
CCl,1,4
O=CCc1ccccc1,1,0
CC(C)c1ccccc1,1,0
c1ccc2[nH]cnc2c1,1,9
CNCc1ccccc1,1,9
NCc1cccc(O)c1,1,9
CNc1ccc(C)cc1,1,8
